195.27	650.000
195.55	-11.290
195.82	214.286
196.09	-90.000
196.36	-13.636
196.63	-27.273
196.90	93.023
197.17	200.000
197.44	-54.167
197.71	25.424
197.98	64.789
198.25	111.111
198.52	75.000
198.79	335.714
199.06	-600.000
199.33	158.333
199.60	72.727
199.87	53.676
200.14	24.028
200.42	16.667
200.69	15.160
200.96	16.587
201.23	19.853
201.50	16.379
201.77	13.151
202.04	15.200
202.31	24.603
202.58	16.986
202.85	14.256
203.12	20.293
203.39	18.043
203.66	22.472
203.93	32.207
204.20	23.307
204.47	15.319
204.74	24.952
205.01	20.744
205.28	17.194
205.55	18.595
205.82	12.236
206.09	18.486
206.36	18.246
206.63	21.968
206.90	20.036
207.17	16.966
207.45	21.511
207.72	21.070
207.99	26.372
208.26	34.132
208.53	31.545
208.80	24.055
209.07	14.000
209.34	19.684
209.61	21.429
209.88	21.379
210.15	20.555
210.42	18.770
210.69	23.576
210.96	25.592
211.23	22.985
211.50	25.551
211.77	30.501
212.04	24.554
212.31	19.766
212.58	22.616
212.85	26.210
213.12	24.597
213.39	27.663
213.66	29.464
213.93	26.770
214.20	27.223
214.47	25.910
214.74	21.971
215.01	17.177
215.28	16.577
215.55	21.745
215.82	24.220
216.09	22.383
216.36	21.359
216.63	22.420
216.90	26.040
217.17	23.508
217.44	23.223
217.71	24.882
217.98	23.870
218.25	18.829
218.52	25.856
218.79	25.922
219.06	27.047
219.33	30.753
219.60	26.371
219.87	23.068
220.14	23.316
220.41	24.976
220.68	23.400
220.95	24.975
221.22	25.680
221.49	24.904
221.76	24.223
222.03	23.272
222.30	25.508
222.57	25.696
222.84	24.492
223.11	26.874
223.38	27.737
223.65	25.669
223.92	24.141
224.19	22.490
224.46	24.638
224.73	24.165
225.00	24.527
225.27	25.876
225.54	26.985
225.81	26.895
226.08	28.488
226.35	27.994
226.62	26.485
226.89	26.942
227.16	27.341
227.43	28.789
227.70	28.161
227.97	27.923
228.24	26.729
228.51	29.076
228.78	28.489
229.05	24.028
229.32	26.950
229.58	28.871
229.85	27.163
230.12	29.405
230.39	25.079
230.66	27.990
230.93	30.377
231.20	28.546
231.47	30.163
231.74	28.824
232.01	28.354
232.28	27.867
232.55	26.397
232.82	26.327
233.09	25.973
233.36	29.081
233.63	28.430
233.90	28.571
234.17	29.685
234.44	26.855
234.71	27.890
234.98	28.528
235.25	27.739
235.52	29.830
235.79	30.648
236.06	28.696
236.32	29.591
236.59	28.491
236.86	29.145
237.13	29.089
237.40	29.653
237.67	28.497
237.94	28.605
238.21	29.633
238.48	31.351
238.75	31.080
239.02	30.568
239.29	30.528
239.56	30.582
239.83	30.171
